Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CO2 emissions from EVs (metric tons),6061.7900687390265,7394.572456351933,8642.397031495166,10092.661429497028,11823.541012944981,13501.100537872639,19837.934115837637,26551.446893396616,32989.641813739,39464.98222824835,46450.40851928596,45639.73441217328,44220.23857867752,42800.742745181546,41381.246911685594,39961.751078190195,38542.25524469409,32039.190128931295,25536.12501316831,19033.059897405343
NOX emissions from EVs (metric tons),0.8714201519372906,1.098010459254659,1.290434152270621,1.5406659104147176,1.8325514803250937,2.120997794028427,3.1356841325650042,4.215970197142416,5.279249119680369,6.392600809365698,7.6011782018637035,7.468518908905197,7.236231591502545,7.003944274099849,6.771656956697138,6.539369639294437,6.307082321891722,5.242916077095106,4.178749832298473,3.114583587501873
PM 10 emissions from EVs (metric tons),0.41842075146739804,0.5060116590789718,0.5905021050909002,0.6853521878215526,0.7994066175891422,0.9092485672052135,1.3335957106927108,1.7825020203586428,2.2095626068422964,2.6335555347622077,3.090000803460566,3.036072674038762,2.9416441554135844,2.8472156367883916,2.7527871181632144,2.658358599538018,2.5639300809128263,2.131329441365808,1.6987288018187867,1.2661281622717522
SO2 emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOC emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
