Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,5586456.812871603,6745314.365693017,7905285.179710224,9065756.313530926,10225958.491674667,11385768.682627866,16697647.073644228,22008569.70351562,27323546.628954194,32639289.87154084,37952670.16876907,37106653.52609043,35941906.398882695,34782375.90819417,33625761.09442685,32467412.762277614,29774161.10674481,24458426.39567506,19143647.445750285,13831949.189048242
Utility Bills (res),4636591.514686275,5598805.448633272,6561437.374877201,7524267.473515316,8487009.393462526,9449591.042240698,13858850.043045782,18267747.549229093,22678106.09521877,27088899.291077454,31498726.35328663,30786964.022309247,29822562.95773416,28859992.902598545,27898621.36812833,26936637.427196547,24621113.71212112,20210396.14714813,15800040.076796915,11390828.605160847
Utility Bills (work),395203.13069350977,476985.68346147717,559095.2637212583,641350.2095499758,723524.1543789497,805584.9889044072,1181085.6282073671,1556305.917398471,1932726.71133218,2309349.741939805,2685290.9301986517,2637483.477811852,2553967.0567299495,2472002.930730023,2390879.145928308,2309240.139710021,2219309.5087424964,1842677.7084125339,1466326.2581944244,1090881.6645703875
Utility Bills (pub L2),6351.114367538084,7669.614339470467,8988.11431140285,10306.614283335233,11625.114255267617,12943.614227200002,18983.992064373335,25024.36990154667,31064.747738720005,37105.12557589333,43145.50341306667,41827.00344113429,40508.5034692019,39190.00349726952,37871.50352533714,36553.00355340476,30512.62571623142,24472.247879058094,18431.87004188476,12391.492204711423
Utility Bills (DCFC),548311.05312428,661853.619258797,775764.4268003614,889832.0161822985,1003799.8295779238,1117649.037255561,1638727.4103267065,2159491.866986509,2681649.0746645234,3203935.712947689,3725507.3818707215,3640379.02252819,3524867.8809493845,3411190.071368335,3298389.076844874,3184982.19181764,2903225.260164961,2380880.2922353395,1858849.2407170618,1337847.427112296
Incremental upfront vehicle cost,23576094.59366173,29467231.28903821,17652669.305102747,8826280.90455542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,26151641.06487073,45833613.90629388,45875653.52958825,45917819.27175258,45960111.51114335,46002530.627252325,210944003.44840446,211139503.76337188,211335590.57928422,211532265.6556442,219951164.72882122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),13506012.02661648,23668467.50091358,23687874.827294774,23707340.37565514,23726864.320660576,23746446.837501027,108878388.24644227,108968639.73118159,109059161.97037512,109149955.77628626,113036487.32152353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),5434237.162224474,9520880.191011181,9526390.913316946,9531918.16778965,9537462.00402575,9543022.471770579,43744520.8601009,43770147.824903406,43795851.67060036,43821632.627834335,44925215.65919802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),3260542.2973346887,5712528.114606703,5715834.547990169,5719150.90067379,5722477.202415451,5725813.483062347,26246712.516060535,26262088.694942053,26277511.00236021,26292979.5767006,26955129.39551884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),3950849.578695083,6931738.0997624155,6945553.240986364,6959409.827634003,6973307.984041574,6987247.83491837,32074381.825800754,32138627.512344822,32203065.935948525,32267697.674823027,35034332.35258083,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),56135331.48269565,71514958.29115875,85119602.10647117,98084554.26291177,122382297.51115039,134141707.53632233,190336053.35512245,249476180.27179176,312933484.92073154,383814609.0976231,387457365.23846793,376804101.05293006,364501925.32531697,351881982.89602304,340397637.6093749,329485301.29791236,269498962.97468007,210086895.84706944,145449610.70962545,78726811.27693722
Avoided vehicle gasoline (gallons),19357010.85610195,23219142.30232427,26936582.94508581,30461041.69655645,33900913.4379918,37158367.738593444,52579020.26384598,68537412.16258015,85036273.07628573,102078353.4834104,102501948.47578517,98639817.02956285,94922376.3868013,91397917.63533066,87958045.89389531,84700591.59329367,69279939.06804115,53321547.16930696,36822686.25560138,19780605.84847669
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1553191.3830608951,4366842.458163147,7303542.435940493,10367343.660990296,13562417.225403292,16893056.232318543,31461885.411610927,46663566.83557573,62518894.68965575,79049271.80296691,110631083.65155801,109609771.82440013,108489976.83235997,107267859.73110701,105939460.32861207,104500693.7082975,89151074.59334505,73075493.90157986,56249438.53927381,38647668.201977946
Federal EV Tax Credit,46043222.818010725,78886491.13492262,77188347.49013951,75526758.79661405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,6139.096375734764,10749.599191985457,10749.59919198545,10749.599191985457,10749.599191985457,10749.599191985457,49246.600000000006,49246.600000000006,49246.600000000006,49246.600000000006,55385.69637573474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,345976.90074582887,577330.3204752193,591057.6145025814,605410.8761510741,620412.4274162293,698047.735708116,2703895.1963519934,2948288.159974732,3116211.2493123575,3292052.0710045476,3766683.3615727867,1152895.2404177987,1144624.9804289702,1135243.4559114494,1124700.7893831288,1112945.3139210737,1099923.5186736123,936921.2880035851,765196.4501271481,584417.3499884243
Distribution Cost,320602.79221219884,545971.4942344029,553447.8795681578,561274.8608952834,569465.2954510722,639994.8939614015,2616758.542292022,2830738.3585666036,2966872.677988546,3109501.3808126957,3549447.9969147677,934456.5770365531,928027.7516110819,920693.4489686905,912412.4144168902,903141.8942178773,892837.5907566597,760747.8590080537,621495.6169568874,474805.29564874887
Transmission Cost,25374.10853363004,31358.8262408164,37609.7349344236,44136.015255790706,50947.13196515706,58052.84174671438,87136.65405997119,117549.80140812816,149338.5713238114,182550.690191852,217235.3646580191,218438.66338124574,216597.22881788827,214550.00694275892,212288.3749662386,209803.41970319636,207085.92791695258,176173.42899553146,143700.8331702606,109612.05433967548
Cumulative personal light-duty EV population,51780.00404007272,62529.60323205818,73279.20242404363,84028.80161602909,94778.40080801454,105528.0,154774.6,204021.2,253267.80000000002,302514.4,351761.0,341011.40080801456,330261.8016160291,319512.2024240437,308762.60323205823,298013.0040400728,248766.40404007278,199519.80404007278,150273.20404007277,101026.60404007277
Cumulative personal light-duty LDV population,1524616.0,1546783.0,1573554.0,1595728.0,1620191.0,1643892.0,1664533.0,1688997.0,1711932.0,1734877.0,1751688.0,1729521.0,1702750.0,1680576.0,1656113.0,1632412.0,1611771.0,1587307.0,1564372.0,1541427.0
EV sales as % of total personal light-duty vehicles,0.004026650891591564,0.006949649169912946,0.006831414232994514,0.006736485912376957,0.006634772808875903,0.006539115216805883,0.029585835786974487,0.029157304601488344,0.02876667998495268,0.02838621988763469
Peak Demand 5-9 PM,2.1496770918600245,2.5959529768870633,3.04222886191414,3.488504746941201,3.93478063196824,4.381056516995304,6.425557861376543,8.470059205757734,10.51456055013891,12.559061894520225,14.60356323890131,14.348695069454616,13.902419184427679,13.456143299400539,13.009867414373412,12.56359152934646,12.117315644319326,10.072814299938138,8.028312955556899,5.983811611175724
Energy Supply Cost,1045417.5601884327,1302283.8145827362,1488457.7778354867,1698596.6027708114,1972142.2446465127,2410443.1829414796,3807648.357258508,5360952.1920758905,7030573.259071918,8738630.944774834,10624063.078477671,10678119.05702259,10687639.049250968,10679606.660298256,10660793.791162275,10625341.568199677,10580770.477782818,9070843.441153083,7462374.111979773,5741797.728628074
Energy Cost,610595.8192031235,812828.449760302,966570.2494921518,1177409.1369353842,1434328.1823363416,1821796.7989698327,2945407.590840415,4326752.497366284,5850605.084295788,7374851.513010531,9166028.273462823,9324926.342592133,9348698.944806654,9356094.916058335,9347084.436705241,9321097.30407921,9273275.669428663,7944936.105482842,6521091.369187571,5001777.277626594
GHG Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacity Cost,434821.7409853061,489455.36482243694,521887.5283433381,521187.46583542496,537814.0623101707,588646.3839716496,862240.7664180954,1034199.6947096045,1179968.174776127,1363779.431764309,1458034.8050148282,1353192.7144304777,1338940.104444258,1323511.744239897,1313709.3544570166,1304244.2641204947,1307494.8083541866,1125907.335670252,941282.742792206,740020.451001483
