Type,Hour,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
avg_weekday,0,1.678337811448396,2.0267630214553725,2.3751882314623467,2.723613441469339,3.0720386514763107,3.4204638614832783,5.016698931278664,6.61293400107405,8.209169070869445,9.805404140664825,11.401639210460278,11.202653564040688,10.854228354033717,10.505803144026746,10.15737793401977,9.8089527240128,9.460527514005804,7.864292444210385,6.268057374415001,4.671822304619609
avg_weekday,1,1.4375649853512367,1.7360054295234504,2.034445873695653,2.332886317867863,2.6313267620400618,2.9297672062122984,4.297007835050414,5.664248463888539,7.031489092726671,8.398729721564838,9.765970350403004,9.59553100504059,9.297090560868352,8.998650116696139,8.700209672523929,8.401769228351707,8.103328784179569,6.736088155341381,5.368847526503239,4.001606897665075
avg_weekday,2,1.252478595219209,1.512494853323933,1.7725111114286796,2.0325273695334074,2.292543627638134,2.5525598857428533,3.74376838037342,4.934976875003946,6.126185369634459,7.317393864265074,8.508602358895615,8.36010706718712,8.10009080908236,7.8400745509776355,7.58005829287291,7.320042034768186,7.06002577666346,5.868817282032926,4.677608787402397,3.486400292771851
avg_weekday,3,1.01912076717458,1.2306916231149763,1.4422624790553797,1.6538333349957715,1.8654041909361616,2.0769750468765604,3.0462413637195183,4.015507680562481,4.984773997405429,5.9540403142483385,6.923306631091322,6.8024785098080995,6.59090765386775,6.3793367979273565,6.167765941986923,5.956195086046536,5.744624230106147,4.7753579132631705,3.8060915964202273,2.836825279577291
avg_weekday,4,0.891637711691249,1.076742912102633,1.2618481125140246,1.4469533129254035,1.6320585133367975,1.817163713748178,2.665183328896718,3.513202944045232,4.361222559193743,5.209242174342283,6.057261789490803,5.951548204762665,5.76644300435133,5.581337803939935,5.396232603528533,5.211127403117157,5.026022202705758,4.1780025875572475,3.3299829724087218,2.4819633572601982
avg_weekday,5,0.8120656003479193,0.9806515223301439,1.1492374443123714,1.3178233662945944,1.4864092882768354,1.654995210259049,2.427335308544236,3.1996754068294146,3.9720155051145762,4.744355603399792,5.5166957016849425,5.420416277293713,5.251830355311503,5.083244433329236,4.914658511347014,4.746072589364797,4.577486667382583,3.805146569097379,3.03280647081223,2.2604663725270346
avg_weekday,6,0.8756212954083633,1.0574014660379851,1.2391816366676087,1.4209618072972345,1.6027419779268528,1.7845221485564946,2.6173088557714617,3.450095562986439,4.282882270201438,5.115668977416396,5.948455684631369,5.844641024497362,5.66286085386773,5.4810806832381,5.299300512608493,5.117520341978882,4.935740171349225,4.1029534641342815,3.2701667569192896,2.4373800497043256
avg_weekday,7,0.9844313883179406,1.188800682075387,1.393169975832845,1.5975392695902855,1.8019085633477456,2.006277857105194,2.9425517675906896,3.8788256780761796,4.815099588561667,5.751373499047166,6.687647409532651,6.570932100597861,6.3665628068404185,6.162193513082939,5.957824219325492,5.753454925568073,5.549085631810622,4.612811721325131,3.6765378108396134,2.7402639003541363
avg_weekday,8,1.3642843424810736,1.6475116256273503,1.9307389087736262,2.213966191919898,2.4971934750661675,2.7804207582124465,4.077965565810916,5.375510373409339,6.673055181007825,7.970599988606245,9.26814479620473,9.10639368749652,8.823166404350236,8.539939121203947,8.25671183805774,7.973484554911439,7.6902572717651685,6.392712464166686,5.095167656568229,3.7976228489697585
avg_weekday,9,1.8330621059718248,2.213608289745089,2.594154473518356,2.9747006572916126,3.3552468410648904,3.7357930248381415,5.479183419016352,7.22257381319459,8.965964207372773,10.70935460155101,12.45274499572922,12.23541506036342,11.854868876590176,11.474322692816871,11.09377650904366,10.713230325270366,10.332684141497078,8.589293747318912,6.845903353140702,5.102512958962497
avg_weekday,10,1.9854668917289011,2.3976525160970525,2.809838140465211,3.2220237648333674,3.6342093892015157,4.046395013569682,5.93473469159925,7.823074369628812,9.711414047658353,11.599753725687988,13.4880934037175,13.25269418301223,12.84050855864408,12.428322934275855,12.016137309907696,11.60395168553959,11.191766061171451,9.303426383141831,7.415086705112239,5.526747027082671
avg_weekday,11,2.008886754427156,2.4259343741119386,2.8429819937967156,3.2600296134815037,3.677077233166277,4.0941248528510386,6.00473871544212,7.915352578033165,9.825966440624281,11.736580303215359,13.647194165806411,13.409018259450358,12.991970639765592,12.574923020080762,12.157875400396069,11.74082778071125,11.323780161026438,9.413166298435394,7.5025524358442865,5.591938573253228
avg_weekday,12,1.8960166487319672,2.2896322811183043,2.683247913504637,3.0768635458909728,3.4704791782773023,3.864094810663632,5.6673600692888035,7.470625327913983,9.273890586539164,11.077155845164333,12.88042110378945,12.655627205983798,12.262011573597514,11.868395941211087,11.474780308824753,11.081164676438465,10.687549044052126,8.884283785426975,7.081018526801744,5.277753268176599
avg_weekday,13,1.7307552973719162,2.0900624486760204,2.449369599980136,2.8086767512842488,3.1679839025883414,3.5272910538924442,5.173379394424446,6.81946773495645,8.465556075488452,10.11164441602045,11.75773275655246,11.552532433177534,11.193225281873412,10.833918130569279,10.474610979265181,10.115303827961066,9.755996676656999,8.109908336124969,6.463819995592964,4.81773165506096
avg_weekday,14,1.5737122005710147,1.9004169916054845,2.227121782639932,2.553826573674405,2.8805313647088666,3.207236155743333,4.703963803289151,6.200691450834946,7.69741909838074,9.194146745926549,10.690874393472315,10.504293278888047,10.177588487853598,9.850883696819151,9.524178905784645,9.197474114750213,8.87076932371571,7.374041676169951,5.877314028624136,4.380586381078325
avg_weekday,15,1.5150488742455641,1.8295750790292566,2.144101283812963,2.4586274885966537,2.773153693380349,3.087679898164058,4.528613975337564,5.9695480525110565,7.41048212968456,8.851416206858092,10.292350284031572,10.112724360369159,9.798198155585508,9.48367195080179,9.169145746018067,8.854619541234387,8.540093336450694,7.099159259277172,5.658225182103665,4.217291104930156
avg_weekday,16,1.4346961116447565,1.7325409737375717,2.030385835830383,2.3282306979232117,2.6260755600160315,2.9239204221088566,4.288432519902833,5.652944617696818,7.017456715490848,8.381968813284828,9.746480911078788,9.576381702657295,9.278536840564486,8.980691978471645,8.682847116378813,8.385002254285999,8.087157392193193,6.7226452943992046,5.358133196605242,3.9936210988112277
avg_weekday,17,1.3567598380590815,1.6384250238638403,1.920090209668606,2.2017553954733664,2.483420581278117,2.765085767082873,4.055474162093064,5.345862557103288,6.636250952113455,7.926639347123648,9.217027742133899,9.05616874725769,8.774503561452939,8.492838375648184,8.211173189843429,7.929508004038656,7.647842818233901,6.357454423223672,5.067066028213481,3.776677633203308
avg_weekday,18,1.5320843625637939,1.850147157868398,2.168209953173021,2.4862727484776204,2.804335543782212,3.122398339086845,4.5795345441628035,6.036670749238832,7.493806954314757,8.950943159390754,10.408079364466795,10.226433693866618,9.90837089856207,9.59030810325747,9.272245307952835,8.954182512648197,8.636119717343599,7.178983512267649,5.7218473071916565,4.264711102115676
avg_weekday,19,1.7116078121251266,2.0669399194763955,2.4222720268276743,2.7776041341789313,3.1329362415302113,3.4882683488814465,5.116145881529099,6.744023414176817,8.371900946824454,9.999778479472058,11.627656012119724,11.424725836448793,11.069393729097458,10.714061621746229,10.358729514394906,10.003397407043687,9.648065299692373,8.020187767044762,6.392310234397123,4.764432701749425
avg_weekday,20,1.9357105389639118,2.3375666768943053,2.7394228148246973,3.141278952755099,3.543135090685533,3.944991228615923,5.786008588881553,7.627025949147191,9.468043309412803,11.309060669678374,13.150078029944101,12.920577979209725,12.51872184127927,12.116865703348875,11.715009565418484,11.31315342748808,10.911297289557686,9.070279929292047,7.2292625690264245,5.38824520876076
avg_weekday,21,2.145639209691764,2.591076824894461,3.0365144400971396,3.4819520552997996,3.9273896705024858,4.372827285705171,6.413503799262556,8.454180312819934,10.494856826377347,12.535533339934831,14.576209853492168,14.321820419963698,13.87638280476106,13.430945189558356,12.985507574355678,12.54006995915312,12.094632343950412,10.053955830392955,8.013279316835545,5.972602803278154
avg_weekday,22,2.1790116378027475,2.631377414424233,3.0837431910457274,3.5361089676671984,3.9884747442886823,4.440840520910209,6.513256914098215,8.585673307286342,10.658089700474308,12.730506093662362,14.80292248685051,14.544576380157089,14.092210603535625,13.639844826914162,13.187479050292692,12.735113273671212,12.282747497049737,10.210331103861595,8.1379147106736,6.065498317485486
avg_weekday,23,2.029727947338238,2.451102226988179,2.87247650663814,3.293850786288107,3.715225065938021,4.136599345587978,6.06703486910701,7.9974703926259805,9.927905916144939,11.858341439663977,13.788776963182917,13.548130101209201,13.126755821559248,12.705381541909212,12.284007262259253,11.862632982609366,11.4412587029594,9.510823179440429,7.580387655921447,5.649952132402431
