Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,4712884.132354151,5690420.103380242,6669027.801009564,7648117.357580156,8626948.247981308,9605401.515025225,14086528.500194374,18566735.32311489,23050843.975264363,27535693.28673853,32018266.229666844,31322109.29338886,30338903.93738058,29360718.07508848,28385341.192864202,27408296.225213166,25282877.816571012,20798038.157055564,16314118.659788735,11833164.694970341
Utility Bills (res),3746178.149442928,4523576.69054613,5301356.721358385,6079312.942010335,6857182.881321672,7634912.479330655,11197396.580501404,14759551.948948573,18323068.51272054,21886915.1875729,25449915.864633456,24883459.53155359,24104053.87854922,23326377.200611267,22549747.35207625,21772541.13951763,19973657.385443367,16409846.912155695,12846365.171591602,9283933.562901337
Utility Bills (work),669927.0388082465,808560.6867545368,947744.7496173882,1087176.0850163067,1226474.327685045,1365578.8845194674,2002113.9253380399,2638176.44232098,3276244.035251343,3914689.1740189623,4551966.746393829,4471867.193761994,4330321.4079703055,4191355.9903282234,4053831.1960041774,3915448.9664243064,3770859.03481444,3132417.452920999,2494448.394863179,1858002.6021143817
Utility Bills (pub L2),4426.785935390571,5345.792710232457,6264.799485074343,7183.806259916229,8102.813034758115,9021.8198096,13232.051449706667,17442.283089813336,21652.514729920003,25862.746370026674,30072.978010133338,29153.97123529145,28234.964460449566,27315.957685607682,26396.950910765794,25477.944135923914,21267.71249581725,17057.480855710575,12847.24921560391,8637.017575497242
Utility Bills (DCFC),292352.1581675863,352936.93336934387,413661.53054871643,474444.5242935986,535188.225939832,595888.3313655026,873785.9429052232,1151564.6487555243,1429878.91256256,1708226.1787766397,1986310.6406294242,1937628.5968379863,1876293.6864006058,1815668.9264633826,1755365.6938730078,1694828.1751353038,1517093.6838173857,1238716.3111231579,960457.8441183489,682591.5123791258
Incremental upfront vehicle cost,16432757.768006543,20538934.976820525,12304075.10866811,6152000.091479695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,18227937.67422391,31946456.27002824,31975758.27946456,32005148.194929205,32034626.280140225,32064192.79960691,147031053.61118436,147167320.18819568,147303995.56493807,147441080.96781063,153309133.1680389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),9413816.319893757,16497142.545695905,16510669.633147987,16524237.301862426,16537845.67358301,16551494.870418757,75889828.0001478,75952734.60414825,76015829.92796068,76079114.53774457,78788063.74678645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),3787713.9738293053,6636142.270957816,6639983.29578989,6643835.843696459,6647699.949246737,6651575.647113687,30490570.41979506,30508432.788832214,30526348.744976506,30544318.44898919,31313526.24908752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),2272628.3842975837,3981685.3625746886,3983989.97747393,3986301.5062178746,3988619.969548048,3990945.3882682114,18294342.251877032,18305059.67329933,18315809.246985905,18326591.069393516,18788115.749452505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),2753778.9962032647,4831486.090799831,4841115.373052758,4850773.543152446,4860460.687762431,4870176.8938062545,22356312.93936447,22401093.121915888,22446007.645014983,22491056.91168334,24419427.42271243,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),39126849.479552306,49846592.772988126,59329156.36929896,68365848.91454603,85301602.523834,93498020.96246165,132666299.38175946,173887828.31619957,218118489.29830986,267523653.13447738,270063046.80989105,262637639.8000978,254062917.33798292,245266704.15569112,237262017.13682097,229656025.7073755,187844671.1215169,146433591.3725793,101380458.76184982,54873691.972918324
Avoided vehicle gasoline (gallons),13492017.06191459,16183958.692528611,18775049.483955365,21231630.0976851,23629252.77668532,25899728.798465833,36648149.00048604,47771381.40554933,59271328.613671154,71149907.74853122,71445250.47880717,68753308.84819314,66162218.05676639,63705637.44303665,61308014.764036424,59037538.74225591,48289118.540235706,37165886.13517241,25665938.927050587,13787359.792190533
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1082588.876787782,3043729.912134524,5090637.180020157,7226135.202415286,9453131.269400667,11774617.713895442,21929302.626684174,32525094.760662086,43576487.96606371,55098400.32663885,77111306.68793952,76399451.83672382,75618953.49961768,74767135.90098989,73841238.75452866,72838414.83984706,62139503.84924779,50934586.98227967,39206578.25330191,26937884.800149713
Federal EV Tax Credit,32092555.63600144,54984619.901240416,53800997.946419194,52642855.133482575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,4279.007418133526,7492.570871875694,7492.570871875694,7492.570871875694,7492.570871875694,7492.570871875694,34325.600000000006,34325.600000000006,34325.600000000006,34325.600000000006,38604.6074181335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,247470.5476923592,410224.42040933203,421360.1406225467,433003.94227088924,445173.9541896387,487044.4497311183,1865314.530006017,2003056.4936869869,2105928.72309272,2213634.4968282697,2528889.218168548,706322.3423312376,701193.9751552462,695385.8676560208,688867.6484006903,681607.8612325604,673573.9304654981,573703.8120007572,468510.58016411256,357792.56378249556
Distribution Cost,227301.43480061486,385298.23607599596,391465.29766698333,397921.5561015407,404677.6169568607,440899.998296138,1796052.0668178748,1909619.3626270625,1987223.4752018785,2068529.74660826,2356214.4669338656,532691.1037951986,529026.4153880356,524845.5602680418,520125.02098125184,514840.42618384067,508966.52349378046,433668.0083717976,354286.463330213,270664.7986891352
