Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CO2 emissions from EVs (metric tons),5292.7684124229245,6463.261764922035,7540.44976981991,8799.970259287426,10307.316482739296,11765.654236241808,17311.421072166217,23141.1563310317,28733.503869797536,34349.00787647864,40400.43343162026,39695.350047237574,38460.74428196539,37226.13851669346,35991.53275142153,34756.92698614962,33522.321220877544,27866.24076717209,22210.160313466662,16554.079859761256
NOX emissions from EVs (metric tons),0.7547882236737365,0.953376527659497,1.1178230439158026,1.3346118670593339,1.5881765471428526,1.8387392706964822,2.7238170310634033,3.6570371061468685,4.575687868537926,5.541250740066128,6.588685853001435,6.4736976579433,6.272352552241657,6.071007446540032,5.8696623408384205,5.6683172351367554,5.466972129435128,4.544552885298998,3.6221336411628693,2.699714397026695
PM 10 emissions from EVs (metric tons),0.3661037868535236,0.4430807172510997,0.5162267883140377,0.5986687743025414,0.6980724650495945,0.793584265276444,1.1653274841598609,1.5557503256963012,1.927325164864408,2.295011475177061,2.690369758653705,2.6434164253959636,2.561200821932963,2.4789852184699677,2.3967696150069613,2.3145540115439855,2.2323384080809743,1.8556853251154872,1.479032242150007,1.102379159184529
SO2 emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOC emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
