Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CO2 emissions from EVs (metric tons),5369.197343525901,6544.12035212311,7646.500117047758,8926.70627823998,10452.505591934398,11930.328874728915,17535.90474472186,23467.124599793962,29150.166897635496,34863.60004465853,41016.64278272796,40300.80508365464,39047.36844076879,37793.93179788325,36540.49515499733,35287.05851211166,34033.62186922613,28291.27180477272,22548.921740319314,16806.57167586588
NOX emissions from EVs (metric tons),0.7737983536252737,0.9730210777454836,1.1433242712723712,1.36439489417608,1.6213296632089853,1.8749961101238297,2.772695011439301,3.727848556701358,4.666285756124371,5.649458569984141,6.713307986152944,6.596144839294876,6.390991378310806,6.185837917326849,5.980684456342842,5.775530995358866,5.570377534374806,4.630511130603384,3.690644726831928,2.7507783230604903
PM 10 emissions from EVs (metric tons),0.3703693077933714,0.44765229780676824,0.5222558518616581,0.6059610013598963,0.706548123945014,0.8033668406129921,1.1787319295918541,1.5752352114461468,1.9522207367064446,2.3262220332742034,2.7283671461295174,2.680750668338814,2.5973738943224904,2.5139971203061457,2.4306203462898273,2.347243572273472,2.2638667982571468,1.881894062447897,1.4999213266386504,1.1179485908294002
SO2 emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOC emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
