Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,4630788.325846803,5591242.528234604,6552851.51417217,7514953.961739197,8476745.754939683,9438163.319924172,13841143.187239124,18243138.16257773,22649490.045012288,27056273.48956222,31460801.03197173,30774373.18557917,29807749.845958795,28846853.454444848,27888724.852990218,26928702.925641187,24820320.21905846,20413366.505631126,16007397.684180135,11604654.398007203
Utility Bills (res),3746178.149442928,4523576.69054613,5301356.721358385,6079312.942010335,6857182.881321672,7634912.479330655,11197396.580501404,14759551.948948573,18323068.51272054,21886915.1875729,25449915.864633456,24883459.53155359,24104053.87854922,23326377.200611267,22549747.35207625,21772541.13951763,19973657.385443367,16409846.912155695,12846365.171591602,9283933.562901337
Utility Bills (work),587831.2323008984,709383.1116088975,831568.4627799948,954012.6891753476,1076271.8346434203,1198340.6894184137,1756728.6123827903,2314579.28178382,2874890.104999266,3435269.376842656,3994501.548698718,3924131.0859523024,3799167.316548521,3677491.369684588,3557214.8561301907,3435855.666852326,3308301.43730189,2747745.8014965644,2187727.4192545796,1629492.3051512442
Utility Bills (pub L2),4426.785935390571,5345.792710232457,6264.799485074343,7183.806259916229,8102.813034758115,9021.8198096,13232.051449706667,17442.283089813336,21652.514729920003,25862.746370026674,30072.978010133338,29153.97123529145,28234.964460449566,27315.957685607682,26396.950910765794,25477.944135923914,21267.71249581725,17057.480855710575,12847.24921560391,8637.017575497242
Utility Bills (DCFC),292352.1581675863,352936.93336934387,413661.53054871643,474444.5242935986,535188.225939832,595888.3313655026,873785.9429052232,1151564.6487555243,1429878.91256256,1708226.1787766397,1986310.6406294242,1937628.5968379863,1876293.6864006058,1815668.9264633826,1755365.6938730078,1694828.1751353038,1517093.6838173857,1238716.3111231579,960457.8441183489,682591.5123791258
Incremental upfront vehicle cost,16432757.768006543,20538934.976820525,12304075.10866811,6152000.091479695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,18227937.67422391,31946456.27002824,31975758.27946456,32005148.194929205,32034626.280140225,32064192.79960691,147031053.61118436,147167320.18819568,147303995.56493807,147441080.96781063,153309133.1680389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),9413816.319893757,16497142.545695905,16510669.633147987,16524237.301862426,16537845.67358301,16551494.870418757,75889828.0001478,75952734.60414825,76015829.92796068,76079114.53774457,78788063.74678645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),3787713.9738293053,6636142.270957816,6639983.29578989,6643835.843696459,6647699.949246737,6651575.647113687,30490570.41979506,30508432.788832214,30526348.744976506,30544318.44898919,31313526.24908752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),2272628.3842975837,3981685.3625746886,3983989.97747393,3986301.5062178746,3988619.969548048,3990945.3882682114,18294342.251877032,18305059.67329933,18315809.246985905,18326591.069393516,18788115.749452505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),2753778.9962032647,4831486.090799831,4841115.373052758,4850773.543152446,4860460.687762431,4870176.8938062545,22356312.93936447,22401093.121915888,22446007.645014983,22491056.91168334,24419427.42271243,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),39126849.479552306,49846592.772988126,59329156.36929896,68365848.91454603,85301602.523834,93498020.96246165,132666299.38175946,173887828.31619957,218118489.29830986,267523653.13447738,270063046.80989105,262637639.8000978,254062917.33798292,245266704.15569112,237262017.13682097,229656025.7073755,187844671.1215169,146433591.3725793,101380458.76184982,54873691.972918324
Avoided vehicle gasoline (gallons),13492017.06191459,16183958.692528611,18775049.483955365,21231630.0976851,23629252.77668532,25899728.798465833,36648149.00048604,47771381.40554933,59271328.613671154,71149907.74853122,71445250.47880717,68753308.84819314,66162218.05676639,63705637.44303665,61308014.764036424,59037538.74225591,48289118.540235706,37165886.13517241,25665938.927050587,13787359.792190533
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1082588.876787782,3043729.912134524,5090637.180020157,7226135.202415286,9453131.269400667,11774617.713895442,21929302.626684174,32525094.760662086,43576487.96606371,55098400.32663885,77111306.68793952,76399451.83672382,75618953.49961768,74767135.90098989,73841238.75452866,72838414.83984706,62139503.84924779,50934586.98227967,39206578.25330191,26937884.800149713
Federal EV Tax Credit,32092555.63600144,54984619.901240416,53800997.946419194,52642855.133482575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,4279.007418133526,7492.570871875694,7492.570871875694,7492.570871875694,7492.570871875694,7492.570871875694,34325.600000000006,34325.600000000006,34325.600000000006,34325.600000000006,38604.6074181335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,253577.63735264534,417777.834251858,430426.31350657897,443651.6801903198,457474.51028170343,504673.54285775434,1896945.152884998,2052370.754632006,2168648.8966328637,2290388.931320618,2620329.049334951,798371.4083686238,792569.1056185967,785998.5748917507,778625.5035413556,770414.3538059464,761328.3236767706,648442.3886327161,529541.5117539758,404397.87741945195
Distribution Cost,230360.55416562234,389084.78769383335,396013.7411990301,403267.61954786803,410858.3385473076,451555.709993188,1817215.6983412504,1944813.3396825248,2032004.8295400986,2123355.8508476154,2421559.570218464,598500.8969238814,594383.465099846,589686.0982573109,584382.3735039937,578444.908587834,571845.3314742318,487244.27747044567,398055.7673483147,304103.30418319796
Transmission Cost,23217.083187022996,28693.046558024656,34412.57230754891,40384.06064245177,46616.17173439586,53117.83286456637,79729.45454374743,107557.41494948114,136644.06709276506,167033.08047300245,198769.4791164875,199870.51144474247,198185.64051875062,196312.47663443975,194243.13003736184,191969.44521811247,189482.99220253874,161198.11116227054,131485.74440566107,100294.573236254
Cumulative personal light-duty EV population,36091.14564062153,43583.71651249722,51076.28738437292,58568.85825624861,66061.4291281243,73554.0,107879.6,142205.2,176530.80000000002,210856.40000000002,245182.0,237689.42912812432,230196.85825624864,222704.28738437296,215211.71651249728,207719.1456406216,173393.5456406216,139067.9456406216,104742.34564062158,70416.74564062158
Cumulative personal light-duty LDV population,1311518.0,1330587.0,1353616.0,1372691.0,1393735.0,1414122.0,1431878.0,1452923.0,1472652.0,1492390.0,1506852.0,1487783.0,1464754.0,1445679.0,1424635.0,1404248.0,1386492.0,1365447.0,1345718.0,1325980.0
EV sales as % of total personal light-duty vehicles,0.0032626372021836727,0.005631026661071913,0.005535226291559566,0.005458308440774868,0.00537589346028886,0.005298390713018887,0.02397243340563931,0.02362520243674304,0.023308697506267607,0.023000422141665387
Peak Demand 5-9 PM,1.8457042166125917,2.2288749197316524,2.612045622850711,2.99521632596978,3.37838702908888,3.761557732207938,5.5169717966052,7.272385861002472,9.027799925399716,10.783213989796918,12.538628054194277,12.319799255762481,11.936628552643356,11.553457849524296,11.170287146405242,10.787116443286168,10.403945740167105,8.648531675769835,6.893117611372581,5.137703546975283
Energy Supply Cost,939299.9068678676,1162509.1159570753,1322583.9764676213,1503271.9772314497,1739705.15543521,2120649.7793483096,3344458.326174038,4704547.061264919,6165516.620375091,7655814.737859702,9303687.958983531,9357146.626711233,9366310.780095736,9360008.569424037,9343870.128608746,9313046.908364598,9273450.966399701,7949781.010494411,6539264.128083049,5030634.474437576
Energy Cost,541441.8887681911,719804.2657821259,855777.0598445502,1042082.8235530584,1268728.9074248946,1610318.6904514243,2604172.6504957643,3824952.590321594,5171065.332813953,6516576.9987287605,8096120.629157939,8236411.0574887665,8257379.254939527,8263854.855035356,8255834.695841054,8232850.388310079,8190562.045858881,7017286.07608035,5759678.59517632,4417737.9894257495
GHG Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacity Cost,397858.01809967443,442704.8501749486,466806.9166230734,461189.15367840254,470976.24801031465,510331.08889688586,740285.6756782846,879594.4709433404,994451.2875611242,1139237.739130939,1207567.3298255894,1120735.5692224728,1108931.525156224,1096153.7143886902,1088035.4327677158,1080196.520054525,1082888.920540815,932494.9344140582,779585.5329067215,612896.485011839
