Rate Attribute, Value, Unit,,,,,,,,,,,,
name,E-36,,,,,,,,,,,,,
description,Commercial,,,,,,,,,,,,,
data_author,Nichole Hanus,,,,,,,,,,,,,
fixed_monthly_charges,0,$/meter per day,,,,,,,,,,,,
meter_day_charge,0,$/meter per day,,,,,,,,,,,,
rate_data_year,2018, year,,,,,,,,,,,,
~~~BREAK~~~,,,,,,,,,,,,,,
rate_escalators,,,,,,,,,,,,,,
year, escalator,,,,,,,,,,,,,
2018,1,,,,,,,,,,,,,
2019,1,,,,,,,,,,,,,
2020,1,,,,,,,,,,,,,
2021,1,,,,,,,,,,,,,
2022,1,,,,,,,,,,,,,
2023,1,,,,,,,,,,,,,
2024,1,,,,,,,,,,,,,
2025,1,,,,,,,,,,,,,
2026,1,,,,,,,,,,,,,
2027,1,,,,,,,,,,,,,
2028,1,,,,,,,,,,,,,
2029,1,,,,,,,,,,,,,
2030,1,,,,,,,,,,,,,
2031,1,,,,,,,,,,,,,
2032,1,,,,,,,,,,,,,
2033,1,,,,,,,,,,,,,
2034,1,,,,,,,,,,,,,
2035,1,,,,,,,,,,,,,
2036,1,,,,,,,,,,,,,
2037,1,,,,,,,,,,,,,
2038,1,,,,,,,,,,,,,
2039,1,,,,,,,,,,,,,
2040,1,,,,,,,,,,,,,
2041,1,,,,,,,,,,,,,
2042,1,,,,,,,,,,,,,
2043,1,,,,,,,,,,,,,
2044,1,,,,,,,,,,,,,
2045,1,,,,,,,,,,,,,
~~~BREAK~~~,,,,,,,,,,,,,,
energy_charge,,,,,,,,,,,,,,
rate_component, daytype, hour, january, february, march, april, may, june, july, august, september, october, november, december
1,workday,0,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,1,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,2,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,3,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,4,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,5,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,6,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,7,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,8,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,9,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,10,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,11,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,12,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,13,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,14,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,15,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,16,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,17,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,18,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,19,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,20,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,21,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,22,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,workday,23,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,0,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,1,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,2,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,3,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,4,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,5,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,6,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,7,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,8,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,9,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,10,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,11,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,12,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,13,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,14,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,15,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,16,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,17,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,18,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,19,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,20,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,21,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,22,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
1,non-workday,23,0.0502,0.0502,0.0502,0.0502,0.0597,0.0597,0.0697,0.0697,0.0597,0.0597,0.0502,0.0502
