Rate Attribute,Value,Unit,,,,,,,,,,,,
name,SDGE AL-TOU-Secondary,,,,,,,,,,,,,
description,Effective 11/11/2019,,,,,,,,,,,,,
data_author,Vignesh,,,,,,,,,,,,,
fixed_monthly_charges,6.21,$/meter per day,,,,,,,,,,,,
meter_day_charge,0,$/meter per day,,,,,,,,,,,,
NEM_customer_charge,0,$/month (additional),,,,,,,,,,,,
tier_consumption_period,monthly,monthly or daily,,,,,,,,,,,,
contract_demand_charge,0,$/kW/yr,,,,,,,,,,,,
demand_charge_length,60min,,,,,,,,,,,,,
basis_year,2017,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RTP_rate,FALSE,,,,,,,,,,,,,
RTP_include_system_capacity,FALSE,,,,,,,,,,,,,
RTP_include_distribution_capacity,FALSE,,,,,,,,,,,,,
RTP_include_energy,FALSE,,,,,,,,,,,,,
RTP_include_emissions,FALSE,,,,,,,,,,,,,
RTP_include_TAC,FALSE,,,,,,,,,,,,,
RTP_include_RPS,FALSE,,,,,,,,,,,,,
RTP_include_AS,FALSE,,,,,,,,,,,,,
RTP_include_user_timeseries,FALSE,,,,,,,,,,,,,
RTP_timeseries_1,FALSE,,,,,,,,,,,,,
RTP_timeseries_2,,,,,,,,,,,,,,
RTP_timeseries_3,,,,,,,,,,,,,,
RTP_timeseries_4,,,,,,,,,,,,,,
RTP_timeseries_5,,,,,,,,,,,,,,
PDP_On_Off,FALSE,optional,,,,,,,,,,,,
PDP_num_days,,,,,,,,,,,,,,
PDP_duration,,,,,,,,,,,,,,
PDP_rate,,,,,,,,,,,,,,
~~~BREAK~~~,,,,,,,,,,,,,,
tier_definitions,,,,,,,,,,,,,,
category,January,February,March,April,May,June,July,August,September,October,November,December,,
baseline_useage (average kWh/day),,,,,,,,,,,,,,
tier_2_threshold,,,,,,,,,,,,,,
tier_3_threshold,,,,,,,,,,,,,,
tier_4_threshold,,,,,,,,,,,,,,
tier_5_threshold,,,,,,,,,,,,,,
~~~BREAK~~~,,,,,,,,,,,,,,
energy_charge,,,,,,,,,,,,,,
rate_component,daytype,hour,January,February,March,April,May,June,July,August,September,October,November,December
1,workday,1,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,workday,2,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,workday,3,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,workday,4,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,workday,5,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,workday,6,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,workday,7,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,8,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,9,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,10,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,11,0.11505,0.11505,0.10125,0.10125,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,12,0.11505,0.11505,0.10125,0.10125,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,13,0.11505,0.11505,0.10125,0.10125,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,14,0.11505,0.11505,0.10125,0.10125,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,15,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,16,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,17,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,workday,18,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,workday,19,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,workday,20,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,workday,21,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,workday,22,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,23,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,workday,24,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,non-workday,1,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,2,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,3,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,4,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,5,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,6,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,7,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,8,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,9,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,10,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,11,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,12,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,13,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,14,0.10125,0.10125,0.10125,0.10125,0.10125,0.10007,0.10007,0.10007,0.10007,0.10007,0.10125,0.10125
1,non-workday,15,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,non-workday,16,0.11505,0.11505,0.11505,0.11505,0.11505,0.12174,0.12174,0.12174,0.12174,0.12174,0.11505,0.11505
1,non-workday,17,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,non-workday,18,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,non-workday,19,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
1,non-workday,20,0.1275,0.1275,0.1275,0.1275,0.1275,0.14282,0.14282,0.14282,0.14282,0.14282,0.1275,0.1275
