,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,6893.101150661686,5666.623417911396,7018.0873949360275,195.4520238673834,0.0,0.0
1,6608.319096153519,5655.353754569935,7018.567070067372,192.40901302219254,0.0,0.0
2,6604.977106948847,5625.9534063316805,7007.919302256064,189.8822588808699,0.0,0.0
3,6606.005185125316,5580.011585052556,7002.598159357225,187.84313443133792,0.0,0.0
4,6612.0523260365435,5554.510454258496,7000.231820376019,186.26301266151913,0.0,0.0
5,6607.312752148872,5545.15736075831,6976.619875932888,185.11326655933598,0.0,150.0
6,6607.052538339398,5523.51805899334,6954.787901103724,184.36526911271105,0.0,150.0
7,6601.514942079136,5504.346859442315,6925.950800748267,183.9903933095668,0.0,150.0
8,6607.711627802668,5483.81843218074,6876.563199701643,183.96001213782566,0.0,300.0
9,6603.9391607007765,5447.78955019969,6867.200468312176,184.24549858541027,0.0,300.0
10,6601.289963093024,5410.412519329722,6851.530202427573,184.81822564024313,0.0,300.0
11,6604.367967539425,5395.972929124246,6849.3309149698225,185.64956629024658,0.0,450.0
12,6602.080242548519,5368.266951308786,6840.950358871425,186.71089352334326,0.0,450.0
13,6605.510579554145,5365.80000000003,6822.898407202368,187.9735803274556,0.0,365.265154801451
14,6599.572318663759,5359.691057408833,6763.103306173662,189.40899969050614,0.0,300.0
15,6597.970741789196,5333.037615381659,6717.553701765561,190.9885246004174,0.0,300.0
16,6601.606237989034,5314.876822262847,6679.395195896885,192.68352804511176,0.0,170.1185997707227
17,6600.819618992931,5299.985688074501,6652.800000000101,194.4653830125119,0.0,150.0
18,6597.6271354713435,5286.89301652183,6640.160750511592,196.30546249054018,0.0,150.0
19,6592.478819170301,5274.823027495096,6627.778993004447,198.17513946711915,0.0,150.0
20,6594.989216078467,5245.892082459503,6616.6026546132425,200.04578693017135,0.0,150.0
21,6594.052567308205,5247.000000000024,6605.984468926315,201.88877786761924,0.0,150.0
22,6592.294873715638,5232.029616042126,6586.771054794841,203.67548526738528,0.0,150.0
23,6589.740447831218,5212.234801857476,6548.387422392026,205.37728211739204,0.0,150.0
24,6583.733664896567,5177.918965015009,6541.285941208203,206.96554140556205,0.0,80.67596531435342
25,6582.495336132387,5184.461742696665,6537.282029210814,208.41163611981773,0.0,0.0
26,6578.4080437884395,5162.211712531784,6525.071114836868,209.6869392480816,0.0,0.0
27,6583.408423583088,5119.336292550191,6504.760797637038,210.76282377827613,0.0,0.0
28,6577.620917002689,5088.482309296129,6490.431799747137,211.61066269832392,0.0,0.0
29,6576.855116616942,5057.709636017715,6464.117348914312,212.20182899614736,0.0,0.0
30,6576.060961057251,5052.665539080737,6421.834802264431,212.50769565966903,0.0,0.0
31,6569.40588632869,5045.767424223542,6396.917281324845,212.50965186390192,0.0,0.0
32,6564.52697058058,5032.050116895336,6390.62914708288,212.22915153222138,0.0,0.0
33,6565.386051581502,5017.115054480346,6399.118930726596,211.69766477509307,0.0,0.0
34,6566.207287154812,4987.488378496748,6380.85054837996,210.94666170298282,0.0,0.0
35,6563.855804127176,4976.891352675682,6359.5958497849015,210.00761242635656,0.0,150.0
36,6564.471283858819,4963.200000000008,6348.154432540944,208.91198705567993,0.0,150.0
37,6568.703756893364,4946.097639751885,6329.75680669464,207.69125570141875,0.0,150.0
38,6568.634947145917,4920.418491360431,6299.806325826305,206.3768884740389,0.0,135.82133211419713
39,6566.157264419516,4926.238906338343,6278.128338709192,205.0003554840061,0.0,0.0
40,6562.592721797205,4926.944212349896,6252.120594781363,203.59312684178622,0.0,0.0
41,6560.859638266686,4899.029514757104,6224.069372091478,202.1866726578449,0.0,0.0
42,6558.169518407411,4880.808738621505,6216.274295944977,200.81246304264815,0.0,0.0
43,6555.564537558642,4852.848821728599,6216.764194271025,199.50196810666165,0.0,0.0
44,6546.531267661372,4831.101724774326,6208.165609163471,198.28665796035108,0.0,0.0
45,6545.1700630114965,4811.457583608802,6185.779793584751,197.19800271418248,0.0,150.0
46,6539.871022899758,4797.149598543097,6157.553254739342,196.26034715284962,0.0,150.0
47,6532.602673338382,4768.421592324648,6137.821260421383,195.4695347579589,0.0,300.0
48,6526.4746360265335,4748.361458484051,6133.0779809213545,194.81428368534486,0.0,300.0
49,6516.939815810763,4736.677125651291,6136.839963837383,194.28331209084192,0.0,300.0
50,6509.990757797053,4719.700992011442,6120.0622524397695,193.86533813028473,0.0,300.0
51,6508.901542867788,4700.8178915928465,6103.175620372251,193.5490799595077,0.0,300.0
52,6505.610308799583,4671.641935295663,6086.560934020053,193.32325573434528,0.0,239.1812237432813
53,6504.952440354226,4648.906079007235,6085.20000000007,193.1765836106321,0.0,150.0
54,6500.074046492744,4613.88941650445,6085.142189616765,193.0977817442026,0.0,150.0
55,6493.407809949697,4585.775210100348,6080.289931640123,193.07556829089125,0.0,155.9176123309001
56,6489.602009523802,4570.422339155556,6068.984344037885,193.0986614065326,0.0,150.0
