,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast,Total
0,306795.9894682167,251060.1571709639,312977.67635757,7924.537932030378,0.0,7223.118590516205,885981.4795192971
1,294206.765823137,250461.1747626696,312293.25507590483,7889.167206718916,0.0,7305.322974664169,872155.6858430946
2,294144.0872240838,249670.18139987686,311595.5521657194,7860.862840197706,0.0,6893.707888762124,870164.39151864
3,294098.1507917451,248842.63904749893,310911.11562274443,7856.267375360674,0.0,7181.757054730402,868889.9298920796
4,294058.9898530417,248125.26206725903,310190.7016337359,7834.29394546565,0.0,6886.204432410617,867095.451931913
5,293978.079296747,247554.73519897473,309402.55951268837,7826.3041868661585,0.0,6783.4459962637775,865545.1241915401
6,293925.12472680025,246828.7928367804,308649.8866983263,7808.5935305258445,0.0,6673.289609339698,863885.6874017725
7,293882.1931611609,246138.66920693545,307808.958430555,7760.286998617179,0.0,6548.62841536488,862138.7362126334
8,293834.18084639095,245433.37574379286,306964.48155905656,7702.039028607204,0.0,6813.093039727382,860747.170217575
9,293800.0261572542,244665.18525053875,306183.68178292114,7676.9843055258725,0.0,6872.98211434145,859198.8596105814
10,293769.379266872,243882.9522259517,305414.03267568373,7641.927309351022,0.0,6821.934368359571,857530.2258462182
11,293696.0585051745,243219.34982988006,304900.97561778594,7597.918374536504,0.0,6855.203396824595,856269.5057242016
12,293624.6281173633,242431.24326643124,304143.67454985646,7550.342987732349,0.0,6372.831102347399,854122.7200237308
13,293551.31380434753,241716.54916072605,303339.3537830883,7514.479425781398,0.0,5723.041756962288,851844.7379309057
14,293459.7063408357,240844.54070656668,302519.56686421746,7504.695337481731,0.0,5352.555171166373,849681.0644202679
15,293392.58878098294,240075.6937606942,301794.06957866694,7469.133365652771,0.0,6118.94449248556,848850.4299784824
16,293304.54373098846,239397.80838141195,300933.60379758436,7451.896601344184,0.0,6073.647103106735,847161.4996144356
17,293236.4655705744,238665.8983456469,300196.40771567856,7410.464132198809,0.0,5668.928554104543,845178.1643182032
18,293183.4338945356,237916.51554841886,299391.712911194,7364.2057567900265,0.0,5788.748576095023,843644.6166870334
19,293093.42879140656,237247.04587357235,298621.3823230947,7337.475802242495,0.0,5858.4842105025045,842157.8170008186
20,293006.9648730208,236446.18813349842,298030.64793074905,7292.873997441763,0.0,5613.818045748126,840390.4929804581
21,292905.73701390583,235666.1644286379,297290.8967589191,7248.067521203026,0.0,5194.2583604357,838305.1240831016
22,292837.38351359445,234850.6938729712,296480.8868873244,7174.503348650497,0.0,4753.543571020744,836097.0111935613
23,292708.4534771521,234236.25596308263,295795.7427112421,7139.450738541648,0.0,4982.989381718944,834862.8922717375
24,292673.89360622445,233340.49393081365,295042.0733196482,7092.058797579821,0.0,5248.693854902026,833397.2135091682
