,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast,Total
0,307498.1567455237,250524.71231351627,314537.94524072384,7196.061460485786,0.0,5804.522545549649,885561.3983057993
1,294952.4687594851,249742.09346824582,313844.85453287046,7142.8707811674285,0.0,6042.064564836647,871724.3521066054
2,294904.3360196688,249069.42165665107,313117.3670081432,7078.485722982795,0.0,6772.68016348947,870942.2905709354
3,294833.1630890474,248372.4506619757,312324.7568789322,7029.156866195773,0.0,6825.035235250373,869384.5627314014
4,294753.06808629446,247796.6275952303,311588.1902462357,6985.044033705662,0.0,6061.47947836066,867184.4094398266
5,294670.16081545147,247065.83338741848,310854.8146765951,6977.374807354225,0.0,6377.095708393872,865945.2793952131
6,294629.8197269712,246278.33035367366,310104.6801355345,6959.489195869617,0.0,6294.478920438081,864266.7983324871
7,294558.6453472262,245423.43324833765,309202.57596019324,6942.765570421987,0.0,6221.773434793651,862349.1935609727
8,294522.60200732894,244833.81115225444,308497.1478587991,6866.710967751942,0.0,5865.638225649706,860585.9102117841
9,294422.66217886284,244110.1461487955,307865.8246142804,6824.402201342225,0.0,5457.147139156627,858680.1822824376
10,294323.4318579928,243365.71918606752,307178.1952279544,6789.110048962279,0.0,5288.712752216644,856945.1690731936
11,294247.6936889042,242600.86241729112,306397.9976973246,6778.216904583919,0.0,5136.180008030487,855160.9507161344
12,294204.1718426943,241720.55756460901,305493.53742386913,6781.603358621335,0.0,5260.9426537537975,853460.8128435476
13,294160.48511223163,240836.72565875354,304596.8770316039,6751.463703065393,0.0,5044.690478567827,851390.2419842222
14,294093.2584439875,240056.22795357354,303616.5928817415,6723.91688235757,0.0,5388.959990025074,849878.9561516852
15,294036.51612824766,239499.33976534294,302709.6085142828,6695.489939302361,0.0,5272.87631505651,848213.8306622321
16,293965.5281741086,238813.65505261606,301974.1014962554,6667.653601720964,0.0,5851.684152826358,847272.6224775272
17,293858.5134917112,238010.02788960762,301171.52356151864,6645.795152034623,0.0,6022.99546154807,845708.8555564202
18,293780.2819930532,237231.4518017387,300354.81217486004,6620.459313622293,0.0,6233.461816383333,844220.4670996575
19,293724.8697191028,236546.3221763864,299690.39802050637,6604.644113169346,0.0,5945.616779988831,842511.8508091539
20,293657.63150592986,235702.07782304293,298937.4589315791,6581.306321176692,0.0,6083.841748810027,840962.3163305385
21,293561.75347216084,234951.77006215282,298160.39181187766,6562.001763437938,0.0,6121.876829671283,839357.7939393006
22,293460.69585425674,234169.02182473912,297424.8642281748,6527.764211772716,0.0,6621.571150289616,838203.9172692329
23,293392.98864579014,233309.09204896784,296748.11190894345,6505.728721680187,0.0,6175.633549770919,836131.5548751527
24,293271.80886285496,232484.55148931022,295942.01209577377,6494.128837128902,0.0,6526.096375881992,834718.5976609498
25,293182.9516459028,231728.0140840524,295224.57192702283,6448.152934141573,0.0,6155.84075311396,832739.5313442335
26,293085.0167770274,231030.03965991025,294518.4905623564,6422.659336401749,0.0,6155.335569256692,831211.5419049525
27,292984.09589338786,230174.8327239223,293812.0838051528,6417.956383765892,0.0,6815.729910314275,830204.6987165431
28,292883.1070060175,229210.64100062064,293061.84517763794,6387.810945457512,0.0,6975.410842270681,828518.8149720043
29,292797.9826406304,228437.82553582345,292279.18810219225,6351.852196773391,0.0,6940.907863374648,826807.7563387941
30,292700.153066922,227726.20410200921,291673.109326604,6335.742939949047,0.0,6585.444446459232,825020.6538819433
31,292592.79306352814,226950.21904063888,290968.9717992548,6314.921252388876,0.0,5626.575298704716,822453.4804545153
32,292509.57770112815,226223.87888240474,290324.9815129141,6308.756651162074,0.0,5491.332041631619,820858.5267892405
33,292410.2333831161,225406.9911914122,289590.03501621,6260.7585347764925,0.0,5264.36111265845,818932.3792381731
34,292290.5641847224,224578.71746416914,289075.6902475583,6249.245565552572,0.0,5844.043959223878,818038.2614212263
35,292167.0405336458,223815.52018612743,288324.6358433364,6230.723833137539,0.0,6025.30129726233,816563.2216935094
36,292030.05059419735,222841.62511970627,287535.1515812499,6188.984375651699,0.0,5866.912994559035,814462.7246653643
37,291910.4239070708,222072.31625197764,286931.7959554583,6144.2529927931055,0.0,5473.487460228049,812532.2765675279
38,291801.57452471275,221452.02077997994,286335.5517505663,6130.358812493715,0.0,5823.006148177179,811542.5120159299
39,291680.7095993782,220704.15297205877,285630.68118492665,6101.796217537646,0.0,5174.860528685879,809292.2005025871
40,291570.0620780372,219984.10474920148,284885.66511562833,6076.40102373839,0.0,4834.044295136346,807350.2772617418
41,291470.6330882946,219177.2732052355,284146.0289191017,6040.273155536305,0.0,4558.7105317828145,805392.9188999509
