,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,307498.1567455237,250524.71231351627,314537.94524072384,8845.770994659411,0.0,5804.522545549649
1,294952.4687594851,249742.09346824582,313844.85453287046,8718.028378794888,0.0,6042.064564836647
2,294904.3360196688,249069.42165665107,313117.3670081432,8609.68388140777,0.0,6772.68016348947
3,294833.1630890474,248372.4506619757,312324.7568789322,8519.684134915951,0.0,6825.035235250373
4,294753.06808629446,247796.6275952303,311588.1902462357,8446.97577173734,0.0,6061.47947836066
5,294670.16081545147,247065.83338741848,310854.8146765951,8390.505424289839,0.0,6377.095708393872
6,294629.8197269712,246278.33035367366,310104.6801355345,8349.219724991353,0.0,6294.478920438081
7,294558.6453472262,245423.43324833765,309202.57596019324,8322.065306259788,0.0,6221.773434793651
8,294522.60200732894,244833.81115225444,308497.1478587991,8307.988800513047,0.0,5865.638225649706
9,294422.66217886284,244110.1461487955,307865.8246142804,8305.936840169035,0.0,5457.147139156627
10,294323.4318579928,243365.71918606752,307178.1952279544,8314.856057645657,0.0,5288.712752216644
11,294247.6936889042,242600.86241729112,306397.9976973246,8333.693085360814,0.0,5136.180008030487
12,294204.1718426943,241720.55756460901,305493.53742386913,8361.394555732411,0.0,5260.9426537537975
13,294160.48511223163,240836.72565875354,304596.8770316039,8396.907101178354,0.0,5044.690478567827
14,294093.2584439875,240056.22795357354,303616.5928817415,8439.177354116546,0.0,5388.959990025074
15,294036.51612824766,239499.33976534294,302709.6085142828,8487.15194696489,0.0,5272.87631505651
16,293965.5281741086,238813.65505261606,301974.1014962554,8539.77751214129,0.0,5851.684152826358
17,293858.5134917112,238010.02788960762,301171.52356151864,8596.000682063655,0.0,6022.99546154807
18,293780.2819930532,237231.4518017387,300354.81217486004,8654.768089149886,0.0,6233.461816383333
19,293724.8697191028,236546.3221763864,299690.39802050637,8715.026365817886,0.0,5945.616779988831
20,293657.63150592986,235702.07782304293,298937.4589315791,8775.72214448556,0.0,6083.841748810027
21,293561.75347216084,234951.77006215282,298160.39181187766,8835.802057570812,0.0,6121.876829671283
22,293460.69585425674,234169.02182473912,297424.8642281748,8894.212737491547,0.0,6621.571150289616
23,293392.98864579014,233309.09204896784,296748.11190894345,8949.90081666567,0.0,6175.633549770919
24,293271.80886285496,232484.55148931022,295942.01209577377,9001.812927511084,0.0,6526.096375881992
25,293182.9516459028,231728.0140840524,295224.57192702283,9048.895702445692,0.0,6155.84075311396
26,293085.0167770274,231030.03965991025,294518.4905623564,9090.0957738874,0.0,6155.335569256692
27,292984.09589338786,230174.8327239223,293812.0838051528,9124.359774254111,0.0,6815.729910314275
28,292883.1070060175,229210.64100062064,293061.84517763794,9150.63433596373,0.0,6975.410842270681
29,292797.9826406304,228437.82553582345,292279.18810219225,9167.86609143416,0.0,6940.907863374648
30,292700.153066922,227726.20410200921,291673.109326604,9175.001673083307,0.0,6585.444446459232
31,292592.79306352814,226950.21904063888,290968.9717992548,9171.330485228369,0.0,5626.575298704716
32,292509.57770112815,226223.87888240474,290324.9815129141,9157.513019783742,0.0,5491.332041631619
33,292410.2333831161,225406.9911914122,289590.03501621,9134.552540563103,0.0,5264.36111265845
34,292290.5641847224,224578.71746416914,289075.6902475583,9103.452311380139,0.0,5844.043959223878
35,292167.0405336458,223815.52018612743,288324.6358433364,9065.21559604854,0.0,6025.30129726233
36,292030.05059419735,222841.62511970627,287535.1515812499,9020.84565838199,0.0,5866.912994559035
37,291910.4239070708,222072.31625197764,286931.7959554583,8971.345762194172,0.0,5473.487460228049
38,291801.57452471275,221452.02077997994,286335.5517505663,8917.719171298777,0.0,5823.006148177179
39,291680.7095993782,220704.15297205877,285630.68118492665,8860.969149509485,0.0,5174.860528685879
40,291570.0620780372,219984.10474920148,284885.66511562833,8802.098960639983,0.0,4834.044295136346
41,291470.6330882946,219177.2732052355,284146.0289191017,8742.111868503956,0.0,4558.7105317828145
42,291374.98923504277,218270.30532465738,283480.3187958023,8682.011136915096,0.0,4645.577810158692
43,291281.42796455714,217447.3223114871,282659.63987024926,8622.800029687083,0.0,4259.075245487488
44,291130.25670235296,216606.99434117423,281995.7867445071,8565.481810633599,0.0,4322.287593210545
45,290998.65714005544,215594.52786383455,281373.22453969595,8511.059743568338,0.0,4303.234748571488
46,290845.50645545655,214843.41071206814,280656.25520451495,8460.347152151262,0.0,4549.816513818776
47,290731.7428117855,213989.86082994443,279729.49224748433,8413.39759942747,0.0,4581.552136506243
48,290623.6782826696,213071.7625750806,278998.5929973732,8370.07470828834,0.0,5190.707719368064
49,290508.3866757479,212367.79429441743,278271.06365010486,8330.242101625254,0.0,5348.800178081976
50,290376.4090998095,211493.00430531235,277514.96367344185,8293.76340232959,0.0,5519.570215584166
51,290265.45893587644,210585.36698808565,276869.36737673084,8260.502233292731,0.0,4792.164773751403
52,290123.98844486877,209856.6925687995,276166.0052947345,8230.32221740605,0.0,5585.314365172617
53,289990.8970826697,209096.8213488655,275634.9961759542,8203.086977560932,0.0,5620.588554445033
54,289887.8851303175,208242.1153000873,274991.76931627974,8178.660136648756,0.0,5287.748803597423
55,289787.7069797799,207492.72923071147,274313.48273737665,8156.905317560897,0.0,4926.864323449114
