,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,15104.584640035295,12267.482477954869,15241.086234348488,511.45989869280675,0.0,81.16439884845377
1,14492.373569574009,12238.236286647807,15224.581023914761,503.82223877422723,0.0,0.0
2,14478.65383884713,12203.487778651235,15238.494569785087,497.21437776472385,0.0,0.0
3,14470.775147256029,12153.749179993456,15205.701237902662,491.58117912028393,0.0,0.0
4,14475.445987956218,12112.97604774421,15169.364971310513,486.8675062968944,0.0,150.0
5,14479.18682062664,12076.064340891879,15136.636859987831,483.01822275054286,0.0,150.0
6,14479.4571263923,12056.752956712295,15104.34650710837,479.97819193721625,0.0,150.0
7,14475.740661044152,12003.103011456671,15063.394169739495,477.69227731290187,0.0,150.0
8,14465.974500157276,11974.087562759036,15010.593430006378,476.10534233358686,0.0,300.0
9,14459.612315041011,11908.876760708445,14959.784103094567,475.1622504552586,0.0,450.0
10,14446.36589764534,11876.519459497962,14903.919532853015,474.80786513390416,0.0,450.0
11,14446.551999959023,11840.318977450637,14902.290500459749,474.98704982551084,0.0,450.0
12,14442.357768686321,11836.953242946567,14889.890252101146,475.64466798606566,0.0,450.0
13,14445.428787772838,11794.53795888183,14837.466273798696,476.72558307155606,0.0,450.0
14,14447.319516246875,11780.953737457085,14807.733363484826,478.17465853796915,0.0,316.8303134119667
15,14438.650239839393,11713.828537522912,14786.610777344831,479.93675784129215,0.0,300.0
16,14438.368625216524,11667.23672852629,14757.756990908598,481.9567444375121,0.0,300.0
17,14429.076996781007,11631.277605633695,14687.075126194672,484.17948178261656,0.0,198.50329976328226
18,14431.43648006822,11588.356732559032,14679.16994324916,486.5498333325925,0.0,150.0
19,14431.650698021025,11571.440727018324,14647.454144874979,489.01266254342715,0.0,150.0
20,14421.975421453682,11518.923098263273,14620.757675656663,491.51283287110783,0.0,150.0
21,14421.577017289044,11451.662226645794,14575.78000785636,493.9952077716215,0.0,3.2432870753250143
22,14430.70209314085,11377.978272951033,14553.56220007487,496.4046507009558,0.0,0.0
23,14435.71025972722,11298.195046886141,14516.757238968221,498.68602511509744,0.0,0.0
24,14432.940962601868,11245.501289714599,14481.03674637475,500.7841944700341,0.0,150.0
25,14436.643681530033,11200.346200098473,14446.45444626476,502.6440222217527,0.0,150.0
26,14445.291047724359,11131.587994935218,14403.436363858538,504.21037182624036,0.0,150.0
27,14443.221317432852,11060.197739381965,14349.413055813451,505.4281067394846,0.0,84.47500467775633
28,14440.638870051951,11006.958955878517,14300.200583886355,506.2420904174724,0.0,0.0
29,14430.705289102814,10951.22019869251,14268.921329924136,506.5971863161911,0.0,0.0
30,14413.663356021994,10861.602795640078,14250.114075404186,506.4382578916278,0.0,0.0
31,14409.251617451382,10784.85053103083,14208.342219343365,505.72814514261114,0.0,0.0
32,14403.16142032332,10736.3050182358,14145.392704544012,504.50159423933536,0.0,0.0
33,14407.927849774873,10726.987266573082,14108.95109797598,502.81132789483553,0.0,0.0
34,14403.223777764311,10699.006457810936,14070.917775851443,500.71006882214726,0.0,0.0
35,14400.608832303184,10627.974247458505,14015.883966403333,498.25053973430613,0.0,150.0
36,14401.571409601398,10603.648766415441,13998.096488901709,495.48546334434747,0.0,150.0
37,14389.902112540301,10597.05986172547,13982.589802525743,492.4675623653067,0.0,150.0
38,14378.87845257265,10557.354796297413,13943.98940883857,489.2495595102193,0.0,150.0
39,14372.38492616347,10545.820945390335,13929.886260093328,485.88417749212056,0.0,150.0
40,14363.435265367008,10463.781743742175,13892.930203708369,482.4241390240462,0.0,150.0
41,14359.69388678082,10432.476585111108,13855.719107088693,478.9221668190314,0.0,150.0
42,14350.79542639706,10391.59874684892,13791.625526796783,475.4309835901119,0.0,150.0
43,14337.674104023574,10378.360796514035,13779.926077095704,472.00331205032285,0.0,272.48359428112707
44,14331.34599331126,10330.390383199561,13767.664449946647,468.6918749126997,0.0,150.0
45,14324.336998351944,10275.436402769283,13765.155380605775,465.5493948902781,0.0,300.0
46,14318.597354735482,10249.110167220175,13735.759409815946,462.6183957093584,0.0,300.0
47,14307.83667329556,10219.952857025895,13732.15139308303,459.90060514930207,0.0,300.0
48,14306.563361287683,10209.901659348252,13702.956147211682,457.3875520027354,0.0,300.0
49,14303.489458676206,10172.262474829815,13656.492506639977,455.07076506228447,0.0,300.0
50,14298.96622033989,10128.401092352944,13632.836532461733,452.9417731205762,0.0,288.25409683831083
51,14291.874035606184,10103.558620259924,13602.673649665543,450.99210497023654,0.0,150.0
52,14284.556045663592,10048.388133168857,13591.72921671542,449.21328940389185,0.0,150.0
53,14282.515269049276,9993.11860474492,13537.37701814347,447.59685521416867,0.0,150.0
54,14275.289972807443,9951.714483799935,13532.362246470148,446.1343311936934,0.0,150.0
55,14273.21661258852,9882.76720381489,13506.616535468207,444.81724613509215,0.0,300.0
56,14264.37494689964,9836.345727699134,13475.177470484396,443.63712883099146,0.0,300.0
57,14252.198032934622,9784.278209029842,13389.603280957594,442.585508074018,0.0,300.0
58,14237.613620928587,9714.48034671478,13346.395329989153,441.6539126567975,0.0,259.20220304781867
59,14230.194634999658,9670.92437859939,13336.124150808175,440.8338713719567,0.0,150.0
60,14233.804058565687,9620.630628843068,13319.38038692949,440.1169130121221,0.0,150.0
61,14218.292510251198,9555.971037761508,13289.438265480523,439.49635627425556,0.0,6.728897890429906
62,14213.53918326829,9495.145154699554,13292.276225634883,438.97267947266323,0.0,0.0
63,14202.416571444295,9433.506718309409,13283.907193598296,438.5481508259862,0.0,150.0
64,14197.855482287041,9403.691623925784,13249.863907186189,438.22503855286607,0.0,150.0
65,14187.859363397089,9381.026583855182,13237.888504380016,438.0056108719447,0.0,39.629375448235926
66,14172.54857431856,9337.322386566324,13217.83059260741,437.8921360018636,0.0,0.0
67,14166.954237689772,9290.84639081072,13169.835132763521,437.88688216126405,0.0,0.0
68,14161.167651558892,9236.059312185638,13124.18453000144,437.99211756878776,0.0,0.0
69,14159.162189809043,9187.270863078398,13113.187362424236,438.2101104430763,0.0,0.0
70,14156.034357852224,9156.456089350073,13051.268559978062,438.543129002771,0.0,0.0
71,14158.565414052533,9120.83187451914,13005.929726735225,438.9934414665138,0.0,0.0
72,14151.44077778336,9074.722641063827,12960.460078360235,439.56331605294605,0.0,0.0
73,14148.382696374774,9050.314105084984,12921.825313122843,440.2550209807092,0.0,0.0
74,14137.219281803178,9009.853076296007,12850.071849604017,441.0708244684448,0.0,0.0
75,14134.768197409903,8964.463429588035,12841.84174103102,442.0129947347947,0.0,0.0
76,14131.92702442213,8922.78138822989,12835.930644756872,443.0818067075431,0.0,0.0
77,14134.552308438235,8864.04356760885,12819.315142401205,444.26956215104764,0.0,150.0
78,14127.41810883853,8837.26567037229,12813.151815593645,445.5665695388083,0.0,150.0
79,14119.327032160645,8789.023157122576,12804.458478990322,446.96313734432533,0.0,150.0
80,14113.891361283651,8741.238825152865,12753.051852302271,448.4495740410992,0.0,150.0
81,14104.01999898892,8723.692843461935,12712.538642630794,450.0161881026302,0.0,150.0
82,14101.11834671514,8678.45416336489,12666.513901476157,451.65328800241826,0.0,150.0
83,14093.50203591451,8621.012668802097,12623.788289022068,453.3511822139641,0.0,300.0
84,14093.370787718435,8595.566519117938,12589.769460802676,455.10017921076775,0.0,300.0
85,14083.300814565857,8552.936333747497,12567.72932737499,456.8905874663294,0.0,300.0
86,14073.593321596512,8500.253765933936,12539.347188179572,458.7127154541495,0.0,450.0
87,14069.238842603427,8461.675445602044,12534.869991423539,460.5568716477285,0.0,435.6043400960606
88,14051.660625882072,8430.122830579792,12508.588358663015,462.41336452056635,0.0,300.0
89,14044.313618923668,8406.207480776764,12479.916642788528,464.2725025461633,0.0,300.0
90,14038.327005812956,8383.305385166394,12440.287823016495,466.1245941980201,0.0,300.0
91,14024.143415285127,8361.04614530784,12407.895978721706,467.96014176948614,0.0,300.0
92,14016.281021780671,8287.109301263992,12383.833027654498,469.77042283331104,0.0,240.8800107596884
93,14004.791535520453,8221.823866122208,12345.902484167042,471.5469087820936,0.0,150.0
94,13997.274079188508,8142.327049936934,12287.496914030477,473.2810710084325,0.0,150.0
95,13987.002473717344,8114.382955703394,12271.774381705196,474.964380904927,0.0,150.0
96,13976.355360030217,8082.574437078884,12221.524450342202,476.58830986417604,0.0,150.0
97,13966.730311289006,8041.898341739079,12199.286657454537,478.14432927877806,0.0,150.0
98,13955.352388963733,7969.836174946759,12159.743486706815,479.6239105413323,0.0,150.0
99,13944.816157075125,7923.814903543017,12124.173749121266,481.01852504443775,0.0,150.0
