,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast,Total
0,0.0,89404.11024461838,0.0,1222.747803030806,508.2000000000007,1173.1030520005725,92308.16109964976
1,0.0,89177.41685499904,0.0,1214.9572918410456,508.2000000000007,887.0481923511868,91787.62233919126
2,0.0,88848.43558673152,0.0,1207.8,508.2000000000007,750.0,91314.43558673152
3,0.0,88552.41237749583,0.0,1202.264217680663,508.2000000000007,845.7326388156855,91108.60923399217
4,0.0,88256.91418891848,0.0,1201.2,503.86038752774925,625.8480310475603,90587.82260749378
5,0.0,87969.06497784654,0.0,1195.649673140967,501.6000000000007,600.0,90266.31465098752
6,0.0,87761.13159398391,0.0,1186.7008673928644,495.95573693922364,750.0,90193.788198316
7,0.0,87514.80616824103,0.0,1183.2012363187646,495.0000000000007,668.7997550007525,89861.80715956056
8,0.0,87267.61727663777,0.0,1173.1036456802071,494.99705041998936,399.6657873534252,89335.3837600914
9,0.0,86984.8122989325,0.0,1168.2000000000005,488.40000000000066,128.72761554117176,88770.13991447366
10,0.0,86801.45070064081,0.0,1168.2000000000005,488.40000000000066,0.0,88458.0507006408
11,0.0,86601.3531355605,0.0,1166.3404251869692,488.40000000000066,150.0,88406.09356074745
12,0.0,86361.64480309523,0.0,1161.6000000000006,486.41081804219385,150.0,88159.65562113743
13,0.0,86078.1678434491,0.0,1161.6000000000006,481.80000000000064,450.0,88171.56784344911
14,0.0,85867.6193239502,0.0,1155.8085685949372,476.66205285375474,450.0,87950.0899453989
15,0.0,85565.19698180597,0.0,1146.3150781446654,475.2000000000006,750.0,87936.71205995063
16,0.0,85179.44294837539,0.0,1128.084658076404,472.011525971954,750.0,87529.53913242376
17,0.0,84964.4758790889,0.0,1112.0696435925945,468.6000000000006,1050.0,87595.1455226815
18,0.0,84747.77208226532,0.0,1108.8000000000013,468.6000000000006,1200.0,87525.17208226533
19,0.0,84515.09396665206,0.0,1112.8017531124879,468.6000000000006,1141.9000625115027,87238.39578227606
20,0.0,84218.6716437234,0.0,1108.8000000000013,468.6000000000006,1370.991476767224,87167.06312049064
21,0.0,83935.69397825083,0.0,1110.7185820375703,464.316888852896,1278.499685914165,86789.22913505546
22,0.0,83709.58972291689,0.0,1115.4000000000012,462.00000000000057,1273.5341939723949,86560.52391688927
23,0.0,83343.33214370892,0.0,1106.2585221318184,462.00000000000057,1367.3660123825248,86278.95667822326
24,0.0,83096.82204778188,0.0,1099.0019810707859,459.92439568739303,1262.4612791442535,85918.20970368432
25,0.0,82769.96019335563,0.0,1089.0000000000016,462.00000000000057,1044.8691107869804,85365.82930414261
26,0.0,82467.63998046501,0.0,1095.492679708059,462.00000000000057,978.4312159217084,85003.56387609478
27,0.0,82065.49479453522,0.0,1089.0000000000016,460.677991548637,958.2175776927699,84573.39036377663
28,0.0,81754.37163457002,0.0,1089.0000000000016,455.40000000000055,891.2756714801126,84190.04730605012
29,0.0,81495.38697618464,0.0,1085.5911706187296,455.40000000000055,661.6889768070655,83698.06712361044
30,0.0,81199.92793770776,0.0,1077.5077585982276,455.40000000000055,600.0,83332.83569630598
31,0.0,80910.3006328476,0.0,1075.8000000000018,455.40000000000055,750.0,83191.5006328476
32,0.0,80584.3810832099,0.0,1064.4253237132561,455.40000000000055,750.0,82854.20640692314
33,0.0,80267.27750484663,0.0,1051.4665757207472,453.3890269122651,621.9081620619154,82394.04126954154
34,0.0,80044.93142789365,0.0,1043.0550600329816,448.8000000000005,600.0,82136.78648792664
35,0.0,79755.86510651716,0.0,1038.589815640925,448.8000000000005,750.0,81993.25492215808
36,0.0,79400.40730230264,0.0,1036.2000000000023,442.85923241435376,750.0,81629.466534717
37,0.0,79097.76118970018,0.0,1036.2000000000023,439.34362409030246,702.7700651340317,81276.0748789245
38,0.0,78765.9165178515,0.0,1029.6732589662076,435.6000000000005,750.0,80981.18977681772
39,0.0,78496.20180033901,0.0,1029.6000000000024,435.6000000000005,659.2315454636672,80620.6333458027
40,0.0,78245.15942426655,0.0,1028.9273488894196,435.6000000000005,900.0,80609.68677315598
41,0.0,77926.63677953291,0.0,1023.0000000000025,428.4890365872662,1050.0,80428.12581612018
42,0.0,77604.86132252452,0.0,1022.6964217179768,419.51905921509706,1050.0,80097.07680345759
43,0.0,77356.78515584103,0.0,1006.7110987954635,420.695244796044,922.3441528723889,79706.53565230494
44,0.0,77071.19007322296,0.0,1001.9609610151591,414.1637349283724,633.2082340624372,79120.52300322891
45,0.0,76789.80555941103,0.0,992.9529900228355,409.2000000000004,457.3116003096502,78649.27014974352
46,0.0,76566.18875785515,0.0,973.4786999891086,404.7962117761765,218.91817937936446,78163.38184899981
47,0.0,76237.69917746031,0.0,970.2000000000023,402.60000000000036,300.0,77910.49917746031
48,0.0,76013.34047539152,0.0,966.6718164845582,402.60000000000036,300.0,77682.61229187608
49,0.0,75702.9177952095,0.0,957.6744953439616,402.60000000000036,111.96013958221222,77175.15243013568
50,0.0,75471.73990315812,0.0,957.0000000000023,402.60000000000036,0.0,76831.33990315812
51,0.0,75012.94078286926,0.0,955.5374179379165,402.60000000000036,0.0,76371.07820080718
52,0.0,74718.28432474275,0.0,950.4000000000023,402.60000000000036,0.0,76071.28432474277
53,0.0,74466.8222055647,0.0,950.4000000000023,402.60000000000036,0.0,75819.82220556472
54,0.0,74230.77459002144,0.0,948.2790271307915,402.60000000000036,300.0,75881.65361715223
55,0.0,73907.53749548846,0.0,938.6161569462444,402.60000000000036,300.0,75548.75365243471
56,0.0,73536.33725071336,0.0,934.9898858026478,403.72442505374386,450.0,75325.05156156975
