,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,30440.08872447247,24844.68528540697,31691.30302892204,815.393295394436,0.0,1060.2071063785484
1,29216.718151400903,24776.106984079765,31596.33165027588,803.3617186437988,0.0,893.7683986497
2,29210.40415606384,24761.959112437806,31551.46886093788,793.1944209194994,0.0,875.9212494111896
3,29207.027770283148,24705.241844793014,31450.46078616567,784.7904933956568,0.0,750.0
4,29208.93931426279,24596.30487780421,31433.1538111489,778.0490272463891,0.0,750.0
5,29199.28577891007,24456.33060677716,31369.97916798251,772.869113645816,0.0,750.0678578354158
6,29202.871353251532,24348.73688105032,31304.50298252334,769.1498437680559,0.0,562.60343534546
7,29195.834137675363,24267.21603754577,31222.436210599764,766.7903087872276,0.0,600.0
8,29189.260366523602,24230.09888150571,31157.53925173859,765.6895998774502,0.0,556.7701644631858
9,29188.718973638825,24195.677184637494,31053.607442921068,765.7468082128423,0.0,383.0958696887824
10,29175.697652443236,24066.133276600092,30987.665162259273,766.861024967523,0.0,600.0
11,29168.42146169483,24008.241020849462,30894.960836285936,768.9313413156108,0.0,750.0
12,29156.539619819174,23911.9861243993,30803.589970820485,771.8568484312245,0.0,750.0
13,29144.265665830935,23821.586871809788,30700.35048271569,775.5366374884834,0.0,718.7125919662059
14,29128.165479733983,23733.734690355355,30645.711616307486,779.8697996615059,0.0,600.0
15,29113.268545533014,23631.539654971177,30549.671731554692,784.7554261244109,0.0,600.0
16,29097.915574352293,23529.17105348784,30471.08576252152,790.0926080513174,0.0,600.0
17,29103.000049178412,23404.368617462304,30377.577597433046,795.7804366163441,0.0,600.0
18,29099.599575767734,23334.472661719345,30267.99001567216,801.71800299361,0.0,477.69509763276716
19,29091.440963394118,23277.021068030655,30201.002278930613,807.8043983572335,0.0,450.0
20,29087.77106412872,23213.31346796787,30136.619041255908,813.938713881334,0.0,450.0
21,29077.395796252684,23161.38378723229,30055.609965233107,820.02004074003,0.0,570.7544445349412
