,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,306795.9894682167,251060.1571709639,312977.67635757,6351.383704139744,0.0,7223.118590516205
1,294206.765823137,250461.1747626696,312293.25507590483,6272.816734290497,0.0,7305.322974664169
2,294144.0872240838,249670.18139987686,311595.5521657194,6201.248849048871,0.0,6893.707888762124
3,294098.1507917451,248842.63904749893,310911.11562274443,6136.230473902823,0.0,7181.757054730402
4,294058.9898530417,248125.26206725903,310190.7016337359,6077.312034340305,0.0,6886.204432410617
5,293978.079296747,247554.73519897473,309402.55951268837,6024.0439558492735,0.0,6783.4459962637775
6,293925.12472680025,246828.7928367804,308649.8866983263,5975.976663917681,0.0,6673.289609339698
7,293882.1931611609,246138.66920693545,307808.958430555,5932.660584033486,0.0,6548.62841536488
8,293834.18084639095,245433.37574379286,306964.48155905656,5893.646141684639,0.0,6813.093039727382
9,293800.0261572542,244665.18525053875,306183.68178292114,5858.483762359099,0.0,6872.98211434145
10,293769.379266872,243882.9522259517,305414.03267568373,5826.723871544819,0.0,6821.934368359571
11,293696.0585051745,243219.34982988006,304900.97561778594,5797.916894729754,0.0,6855.203396824595
12,293624.6281173633,242431.24326643124,304143.67454985646,5771.613257401857,0.0,6372.831102347399
13,293551.31380434753,241716.54916072605,303339.3537830883,5747.363385049083,0.0,5723.041756962288
14,293459.7063408357,240844.54070656668,302519.56686421746,5724.717703159389,0.0,5352.555171166373
15,293392.58878098294,240075.6937606942,301794.06957866694,5703.226637220728,0.0,6118.94449248556
16,293304.54373098846,239397.80838141195,300933.60379758436,5682.440612721055,0.0,6073.647103106735
17,293236.4655705744,238665.8983456469,300196.40771567856,5661.910055148326,0.0,5668.928554104543
18,293183.4338945356,237916.51554841886,299391.712911194,5641.1853899904945,0.0,5788.748576095023
19,293093.42879140656,237247.04587357235,298621.3823230947,5619.817042735514,0.0,5858.4842105025045
20,293006.9648730208,236446.18813349842,298030.64793074905,5597.355438871344,0.0,5613.818045748126
21,292905.73701390583,235666.1644286379,297290.8967589191,5573.351003885934,0.0,5194.2583604357
22,292837.38351359445,234850.6938729712,296480.8868873244,5547.35416326724,0.0,4753.543571020744
23,292708.4534771521,234236.25596308263,295795.7427112421,5518.915342503219,0.0,4982.989381718944
24,292673.89360622445,233340.49393081365,295042.0733196482,5487.584967081825,0.0,5248.693854902026
25,292621.16975537036,232459.2137876616,294190.9487568439,5452.913462491012,0.0,5061.504884948627
26,292551.52867621026,231699.51913244592,293499.8849861793,5414.451254218733,0.0,5245.656582345673
27,292433.0112328964,230871.17428707765,292621.49770081165,5371.748767752946,0.0,4781.0086178039655
28,292300.6268176556,230243.08461328066,291952.54823379684,5324.356428581605,0.0,5088.741539533527
29,292202.39649829007,229454.9834466005,291145.29758952814,5271.824662192663,0.0,4935.927934717733
30,292106.59238219686,228669.41653989686,290313.8760213371,5213.703894074076,0.0,4385.606566567486
31,291984.9229358987,227799.94616446662,289483.59453703166,5149.779869701678,0.0,4583.8065687646795
32,291869.1505405447,226923.71304739732,288740.1462183,5080.779614502834,0.0,4214.698392927116
33,291795.0686985727,226139.10801627333,288038.2821813597,5007.665473892781,0.0,4126.732645028896
34,291710.91414116457,225309.777119647,287296.3367458166,4931.39979328676,0.0,3774.537604179934
35,291605.4539741504,224638.1015842206,286684.1651205703,4852.944918100014,0.0,3453.3416763672467
36,291501.2897962109,223779.62189495435,285951.7390876143,4773.263193747783,0.0,3245.6341027015883
37,291440.8697745635,222937.18108687448,285178.77114906843,4693.316965645308,0.0,3373.735570405904
38,291341.53783998056,222238.3148619466,284454.07812565396,4614.068579207832,0.0,3714.6390855913232
39,291243.57183864136,221411.2914116718,283878.67630009353,4536.480379850594,0.0,3796.8843825439512
40,291107.1271303477,220595.5899965143,283143.7377137222,4461.514712988836,0.0,4388.748755430189
41,291025.2113652358,219756.86841380797,282413.35770483117,4390.133924037799,0.0,4025.1640018742073
42,290933.21036021336,218827.3376890323,281640.9138487965,4323.300358412725,0.0,3849.6705934419547
43,290819.49465461937,217961.4933521178,280852.1593862126,4261.976361528854,0.0,4232.728483005923
44,290680.56459204666,217223.852178128,280050.9348895263,4207.124278801426,0.0,4177.355242957379
45,290570.16086807306,216467.71057225487,279304.71996948245,4159.706455645685,0.0,4528.512847689039
46,290444.205619742,215607.85492067982,278585.7071545501,4120.399558955696,0.0,4833.299497926037
47,290322.22007117403,214756.25627395202,277990.72111696884,4088.737541540829,0.0,5341.69813864795
48,290202.19239111256,214034.661039483,277300.6019107563,4063.968677689278,0.0,5688.894439367787
