,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,30874.80349720283,25479.49393990651,31073.340649763282,655.192849020979,0.0,446.96259595252144
1,29591.859791373816,25423.532883781892,31016.183303233323,648.0782696376064,0.0,285.68028680292787
2,29595.141208932368,25373.82616761193,30947.545271166113,641.5462027713439,0.0,150.0
3,29600.68143181628,25289.450252028688,30893.594259336474,635.5615490368519,0.0,18.903435002469422
4,29589.50824777714,25196.940760059202,30797.460154669334,630.0892090487913,0.0,150.0
5,29606.24680697983,25174.764007746315,30713.306791529772,625.0940834218223,0.0,150.0
6,29604.55519807933,25073.85933302131,30615.060034017977,620.5410727706059,0.0,150.0
7,29612.099443365827,24997.721588002598,30539.618482127313,616.3950777098024,0.0,150.0
8,29610.584836050875,24936.142952093545,30431.826868123026,612.6209988540724,0.0,296.8948762924134
9,29594.619525622133,24894.264990424956,30312.576899656273,609.1837368180769,0.0,300.0
10,29597.908619271642,24752.52713494347,30225.754221778985,606.0481922164763,0.0,300.0
11,29589.656192955634,24707.50257741702,30142.531777478896,603.179265663931,0.0,450.0
12,29576.791279827034,24641.488107278405,30058.15659167759,600.5418577751019,0.0,450.0
13,29561.03848924228,24523.81918716811,29972.982540411536,598.1008691646495,0.0,450.0
14,29542.36439036291,24469.53052284983,29865.43927199554,595.821200447234,0.0,600.0
15,29540.281925054624,24422.63800230368,29825.205436978158,593.6677522375167,0.0,481.3474283375723
16,29528.82875090427,24382.612245309894,29761.33467140785,591.6054251501577,0.0,331.21741502117084
17,29518.390344815925,24282.092472975364,29675.290904221507,589.5991197998179,0.0,300.0
18,29510.962630273374,24189.620214481994,29572.135984797125,587.613736801158,0.0,300.0
19,29508.273866031446,24128.874412279012,29492.169957703638,585.6141767688381,0.0,300.0
20,29516.18632073007,24096.353725180543,29430.080077023296,583.565340317519,0.0,196.90216126243257
21,29510.059052183442,23988.28753180547,29329.20956908065,581.4321280618616,0.0,150.0
22,29489.9987019574,23890.633836910758,29257.277911556073,579.1794406165263,0.0,300.0
23,29483.12956186025,23767.921261972337,29191.41018769523,576.7721785961737,0.0,300.0
24,29464.665771231324,23704.61194045022,29127.765703476427,574.1752426154646,0.0,600.0
25,29462.61141122964,23655.91247033971,29055.54574949201,571.3535332890593,0.0,600.0
26,29461.98130558175,23569.929334455453,28965.301224380222,568.2719512316185,0.0,600.0
27,29459.61537213396,23459.72355378732,28895.740884918643,564.8953970578029,0.0,600.0
28,29457.785635585875,23393.31686055985,28831.22757285032,561.188771382273,0.0,750.0
29,29441.767083054914,23288.46323198465,28781.907988842984,557.1169748196894,0.0,900.0
30,29443.6369429759,23198.380012744274,28731.54282355164,552.6449079847129,0.0,1200.0
31,29440.621268875446,23107.564907148364,28673.752350207775,547.7542423143866,0.0,1033.9013129935515
32,29425.247790693586,23020.603409971496,28607.084677366263,542.4937325352857,0.0,803.7921774092707
33,29424.8402745958,22917.790940951698,28565.269512785722,536.9289041963679,0.0,682.7726839227005
34,29419.40748322937,22855.46816529016,28463.2423714231,531.1252828465906,0.0,713.7303333965314
35,29415.05533180224,22724.974516501687,28349.525834809003,525.1483940349117,0.0,512.1408125234067
36,29400.522562903778,22659.90055710925,28290.556761979504,519.0637633102891,0.0,600.0
37,29395.5019197691,22578.805391976195,28207.07945292225,512.9369162216801,0.0,600.0
38,29385.83259445581,22498.065483494433,28112.671692567903,506.83337831804283,0.0,658.509505902198
39,29374.48298340163,22402.345911307173,28063.05050388012,500.8186751483347,0.0,626.3611320470816
40,29354.539823339706,22363.920500232816,27973.966367049306,494.95833226151353,0.0,900.0
41,29343.060008887376,22306.14902272597,27925.317790020054,489.317875206537,0.0,1050.0
42,29319.80805333758,22200.078601364305,27871.125641131825,483.96282953236295,0.0,947.366211438343
43,29302.090915871697,22132.721263225998,27788.196108763033,478.95872078794895,0.0,900.0
44,29291.3667849468,22017.66337724074,27730.322576170176,474.37107452225257,0.0,900.0
45,29277.629065362195,21941.11858625784,27687.01263727957,470.26541628423195,0.0,845.2690657556127
46,29264.988650212523,21855.52555486297,27612.631743788945,466.688255757286,0.0,670.4758208093363
47,29266.145725817038,21749.834227188363,27516.385514020993,463.6100391625808,0.0,502.70131697843397
48,29246.986326390506,21674.842486830883,27457.70027887106,460.98219685572366,0.0,450.0
49,29234.63732608487,21591.757726128526,27408.088331855506,458.756159192322,0.0,600.0
50,29241.769730347358,21506.564206728297,27311.834088932297,456.8833565279836,0.0,600.0
51,29239.578829845243,21458.755261212977,27224.463639000154,455.31521921831575,0.0,600.0
52,29238.758299613084,21384.704043851096,27161.196191539784,454.0031776189257,0.0,535.0348138693514
53,29232.066756217,21346.153602347113,27129.340555531177,452.8986620854211,0.0,352.0097568343161
54,29217.92485091752,21262.205779521406,27099.323925383927,451.9531029734095,0.0,450.0
55,29224.281850417177,21174.106749232204,27041.457941189245,451.117930638498,0.0,600.0
56,29202.72836951447,21090.378265015228,27009.484725847295,450.34457543629446,0.0,750.0
57,29179.94605980435,21001.562561332634,26941.075262703558,449.58446772240626,0.0,595.9420469076317
58,29157.08505557465,20933.671049528628,26899.496199883273,448.7890378524407,0.0,410.8478264229217
59,29144.903947081562,20849.202056684735,26798.959806832398,447.9097161820052,0.0,300.0
